populationPercent,iso_639_3,Ref_Name,language,iso_alpha2,round,checked,comment
2.7,fvr,Fur,fvr,SD,6,1,"Only Arabic, English, and Nubian languages are options"
2.7,fvr,Fur,fvr,SD,5,1,
2.5,tam,Tamil,ta,MU,6,1,
2.5,tam,Tamil,ta,MU,5,1,
2.4,ssw,Swati,ss,LS,4,1,
2.4,ssw,Swati,ss,LS,1,1,
2,hin,Hindi,hi,ZA,2,1,
2,hin,Hindi,hi,ZA,3,1,
2,hin,Hindi,hi,ZA,1,1,
1.8,hau,Hausa,ha,SD,6,1,"Only Arabic, English, and Nubian languages are options"
1.8,hau,Hausa,ha,SD,5,1,
1.8,wal,Wolaytta,wal,ET,5,1,No ET found
1.7,ksb,Shambala,ksb,TZ,3,1,Not included
1.7,bez,Bena (Tanzania),bez,TZ,3,1,
1.7,ksb,Shambala,ksb,TZ,1,1,
1.7,ksb,Shambala,ksb,TZ,2,1,
1.7,bez,Bena (Tanzania),bez,TZ,2,1,
1.7,bez,Bena (Tanzania),bez,TZ,1,1,
1.5,sav,Saafi-Saafi,sav,SN,6,1,"The serer-sine and saafi languages both are called serer, but are not closely related."
1.5,sav,Saafi-Saafi,sav,SN,4,1,
1.5,sav,Saafi-Saafi,sav,SN,5,1,
1.5,sav,Saafi-Saafi,sav,SN,3,1,
1.5,sav,Saafi-Saafi,sav,SN,2,1,
1.5,mas,Masai,mas,TZ,2,1,Appears in some rounds
1.4,mgy,Mbunga,mgy,TZ,6,1,
1.4,mgy,Mbunga,mgy,TZ,3,1,
1.4,aar,Afar,aa,ET,5,1,No ET found
1.4,mgy,Mbunga,mgy,TZ,5,1,
1.4,mgy,Mbunga,mgy,TZ,4,1,
1.4,mgy,Mbunga,mgy,TZ,2,1,
1.4,mgy,Mbunga,mgy,TZ,1,1,
1.3,bkm,Kom (Cameroon),bkm,CM,5,1,
1.3,bkm,Kom (Cameroon),bkm,CM,6,1,
1,nzi,Nzima,nzi,GH,6,1,Not included
1,nzi,Nzima,nzi,GH,3,1,
1,mua,Mundang,mua,CM,6,1,"Appears in some, but not all rounds"
1,nzi,Nzima,nzi,GH,2,1,
0.99,mls,Masalit,mls,SD,6,1,"Only Arabic, English, and Nubian languages are options"
0.99,mls,Masalit,mls,SD,5,1,
0.99,xho,Xhosa,xh,LS,3,1,Appears in some rounds
0.87,lag,Langi,lag,TZ,3,1,
0.87,lag,Langi,lag,TZ,2,1,
0.87,lag,Langi,lag,TZ,1,1,
0.83,fia,Nobiin,fia,SD,5,1,Not an option in this round
0.77,mfv,Mandjak,mfv,SN,2,1,"Appears in some, but not all rounds"
0.75,jmc,Machame,jmc,TZ,6,1,
0.75,vun,Vunjo,vun,TZ,6,1,
0.75,rof,Rombo,rof,TZ,6,1,
0.75,vun,Vunjo,vun,TZ,5,1,
0.75,rof,Rombo,rof,TZ,5,1,
0.75,jmc,Machame,jmc,TZ,5,1,
0.75,jmc,Machame,jmc,TZ,4,1,
