country,question,value,round,country_iso,iso_639_3,iso_scope,iso_ref_name
14,Q3OTHER,balawa,r4,NG,,,
14,Q3OTHER,bassa,r4,NG,,,
14,Q3OTHER,bazanfara,r4,NG,,,
14,Q3OTHER,bekwaira,r4,NG,,,
14,Q3OTHER,betem,r4,NG,,,
14,Q3OTHER,bette,r4,NG,btt,I,Bete-Bendi
14,Q3OTHER,birom,r4,NG,bom,I,Berom
14,Q3OTHER,bisa,r4,NG,bqp,I,Busa
14,Q3OTHER,brass,r4,NG,,,
14,Q3OTHER,calabar,r4,NG,efi,I,Efik
14,Q3OTHER,chibok,r4,NG,ckl,I,Cibak
14,Q3OTHER,cross river yala,r4,NG,yba,I,Yala
14,Q3OTHER,diemak,r4,NG,,,
14,Q3OTHER,eapie,r4,NG,,,
14,Q3OTHER,ecthie,r4,NG,,,
14,Q3OTHER,egbema,r4,NG,ijc,I,Izon
14,Q3OTHER,egbma,r4,NG,ijc,I,Izon
14,Q3OTHER,egede,r4,NG,ige,I,Igede
14,Q3OTHER,eggon,r4,NG,ego,I,Eggon
14,Q3OTHER,ejagam,r4,NG,,,
14,Q3OTHER,eleme,r4,NG,elm,I,Eleme
14,Q3OTHER,epeye,r4,NG,ekp,I,Ekpeye
14,Q3OTHER,epia,r4,NG,,,
14,Q3OTHER,gbagyi,r4,NG,gbr,I,Gbagyi
14,Q3OTHER,glanda,r4,NG,glw,I,Glavda
14,Q3OTHER,gomai,r4,NG,,,
14,Q3OTHER,gwari,r4,NG,gbr,I,Gbagyi
14,Q3OTHER,higgi,r4,NG,hig,I,Kamwe
14,Q3OTHER,ibani,r4,NG,iby,I,Ibani
14,Q3OTHER,ichen,r4,NG,ich,I,Etkywan
14,Q3OTHER,igara,r4,NG,igl,I,Igala
14,Q3OTHER,igede,r4,NG,ige,I,Igede
14,Q3OTHER,ipia,r4,NG,,,
14,Q3OTHER,iyala,r4,NG,yba,I,Yala
14,Q3OTHER,jukun,r4,NG,jbu,I,Jukun Takum
14,Q3OTHER,jukun donga,r4,NG,jbu,I,Jukun Takum
14,Q3OTHER,kagoro,r4,NG,kcg,I,Tyap
14,Q3OTHER,kagoru,r4,NG,,,
14,Q3OTHER,kalabari,r4,NG,ijn,I,Kalabari
14,Q3OTHER,kambari,r4,NG,tsw,I,Tsishingini
14,Q3OTHER,kambu,r4,NG,lmp,I,Limbum
14,Q3OTHER,kari-kari,r4,NG,kai,I,Karekare
14,Q3OTHER,kataf,r4,NG,kcg,I,Tyap
14,Q3OTHER,kataf(atyap),r4,NG,kcg,I,Tyap
14,Q3OTHER,khana,r4,NG,ogo,I,Khana
14,Q3OTHER,kuteb,r4,NG,kub,I,Kutep
14,Q3OTHER,kwalla,r4,NG,kwl,I,Kofyar
14,Q3OTHER,mambilla,r4,NG,mzk,I,Nigeria Mambila
14,Q3OTHER,manga,r4,NG,kby,I,Manga Kanuri
14,Q3OTHER,manga,r4,NG,kau,M,Kanuri
14,Q3OTHER,marghi,r4,NG,mrt,I,Marghi Central
14,Q3OTHER,mbembe,r4,NG,,,
14,Q3OTHER,michica,r4,NG,,,
14,Q3OTHER,minyam,r4,NG,,,
14,Q3OTHER,mumuye,r4,NG,mzm,I,Mumuye
14,Q3OTHER,muryang,r4,NG,,,
14,Q3OTHER,mwaghawul,r4,NG,sur,I,Mwaghavul
14,Q3OTHER,ndoro,r4,NG,ndr,I,Ndoola
14,Q3OTHER,nedere,r4,NG,kmy,I,Koma
14,Q3OTHER,numana,r4,NG,nbr,I,Numana-Nunku-Gbantu-Numbu
14,Q3OTHER,obubra,r4,NG,,,
14,Q3OTHER,ogaja,r4,NG,,,
14,Q3OTHER,ogbia,r4,NG,ogb,I,Ogbia
14,Q3OTHER,okirika,r4,NG,okr,I,Kirike
14,Q3OTHER,opobo,r4,NG,,,
14,Q3OTHER,oron,r4,NG,orx,I,Oro
14,Q3OTHER,rendere,r4,NG,,,
14,Q3OTHER,shuwa arab,r4,NG,shu,I,Chadian Arabic
14,Q3OTHER,shuwa arab,r4,NG,ara,M,Arabic
