round,variable,type,value,label,country,lang_name,iso_639_3,glottocode,wals,n_resp,prop
6,Q2OTHER,respondent_other,,tanala,MG,tanala,plt,tana1285,mal,1,6.767211612209243e-4
6,Q2OTHER,respondent_other,,"",ML,"",und,,,1196,0.9969941463921589
6,Q2OTHER,respondent_other,,DIAKA,ML,diaka,mis,,,1,8.89972286578858e-4
6,Q2OTHER,respondent_other,,MOSSI,ML,mossi,mos,moss1236,moo,3,0.002115881321262175
6,Q2OTHER,respondent_other,,"",MU,"",und,,,1194,0.9965998916385382
6,Q2OTHER,respondent_other,,Bhojpuri,MU,bhojpuri,bho,bhoj1244,bho,6,0.0034001083614616907
6,Q2OTHER,respondent_other,,"",MW,"",und,,,2383,0.9929599596686758
6,Q2OTHER,respondent_other,,Chimambwe,MW,chimambwe,mgr,mamb1297,mmw,2,7.609575330249565e-4
6,Q2OTHER,respondent_other,,Chindali,MW,chindali,ndh,ndal1241,mmw nyh,8,0.004107507728446535
6,Q2OTHER,respondent_other,,Chinyakyusa,MW,chinyakyusa,nyy,nyak1260,mmw nyh,1,2.114733277897267e-4
6,Q2OTHER,respondent_other,,Chinyanja,MW,chinyanja,nya,nucl1395,cic,1,2.8604552371713754e-4
6,Q2OTHER,respondent_other,,Chinyika,MW,chinyika,nkv,nyik1246,nyh,1,3.8047876651247823e-4
6,Q2OTHER,respondent_other,,Chinyungwe,MW,chinyungwe,nyu,nyun1248,sen,2,5.461704956863082e-4
6,Q2OTHER,respondent_other,,Chiswahili,MW,chiswahili,swh,swah1253,swa,1,2.991322054665695e-4
6,Q2OTHER,respondent_other,,Chiwandya,MW,chiwandya,swk,mala1475,sen,1,4.482747506806354e-4
6,Q2OTHER,respondent_other,,"",MZ,"",und,,,2133,0.8892482288923943
6,Q2OTHER,respondent_other,,chaewa,MZ,chaewa,nya,nyan1308,cic,1,2.4664433137781654e-4
6,Q2OTHER,respondent_other,,CHENA,MZ,chena,seh,nucl1396,sen,1,2.608340707165731e-4
6,Q2OTHER,respondent_other,,CHEUA,MZ,cheua,nya,chew1246,cic,1,2.4834709781014215e-4
6,Q2OTHER,respondent_other,,chewa,MZ,chewa,nya,chew1246,cic,8,0.003580442715417694
6,Q2OTHER,respondent_other,,Chewa,MZ,chewa,nya,chew1246,cic,13,0.0038231320748230877
6,Q2OTHER,respondent_other,,CHEWA,MZ,chewa,nya,chew1246,cic,5,0.001623642966526937
6,Q2OTHER,respondent_other,,chewe,MZ,chewe,nya,chew1246,cic,3,0.0011012164231369221
6,Q2OTHER,respondent_other,,Chewe,MZ,chewe,nya,chew1246,cic,3,0.0010997050833859256
6,Q2OTHER,respondent_other,,CHEWE,MZ,chewe,nya,chew1246,cic,1,2.608340707165731e-4
6,Q2OTHER,respondent_other,,Chitcheiwa,MZ,chitcheiwa,nya,chew1246,cic,1,5.174712525429213e-4
6,Q2OTHER,respondent_other,,chitewe,MZ,chitewe,twx,tewe1238,shn,1,2.9212082061623023e-4
6,Q2OTHER,respondent_other,,CHITEWE,MZ,chitewe,twx,tewe1238,shn,1,4.5469472311585084e-4
6,Q2OTHER,respondent_other,,Chiteye,MZ,chiteye,twx,tewe1238,shn,1,2.609438870105313e-4
6,Q2OTHER,respondent_other,,Chitsua,MZ,chitsua,tsc,tswa1255,rga tsn,1,1.5510164653529412e-4
6,Q2OTHER,respondent_other,,chitxua,MZ,chitxua,tsc,tswa1255,rga tsn,1,3.038292528020145e-4
6,Q2OTHER,respondent_other,,CHITXUA,MZ,chitxua,tsc,tswa1255,rga tsn,1,6.895260004314621e-4
6,Q2OTHER,respondent_other,,Chona,MZ,chona,sna,shon1251,shn,1,0.00102093648021548
6,Q2OTHER,respondent_other,,CHONA,MZ,chona,sna,shon1251,shn,6,0.0028089579106443273
6,Q2OTHER,respondent_other,,Chutcua,MZ,chutcua,mis,,,1,5.660854934807972e-4
6,Q2OTHER,respondent_other,,EKOTE,MZ,ekote,eko,koti1238,eko,2,3.503136393867576e-4
6,Q2OTHER,respondent_other,,ligete,MZ,ligete,mis,,,1,3.744538224401722e-4
6,Q2OTHER,respondent_other,,LIGODE,MZ,ligode,mis,,,1,3.744538224401722e-4
6,Q2OTHER,respondent_other,,Ligote,MZ,ligote,mis,,,1,3.744538224401722e-4
6,Q2OTHER,respondent_other,,LIGOUTE,MZ,ligoute,mis,,,1,3.744538224401722e-4
6,Q2OTHER,respondent_other,,LINGUA MAPEX,MZ,lingua mapex,por,port1283,por,1,2.4354734690331485e-4
6,Q2OTHER,respondent_other,,loriba,MZ,loriba,mis,,,1,2.3921443950312963e-4
6,Q2OTHER,respondent_other,,luniga,MZ,luniga,mis,,,1,5.260950019176684e-4
6,Q2OTHER,respondent_other,,Mabawe,MZ,mabawe,mis,,,1,5.721882955314504e-4
6,Q2OTHER,respondent_other,,MAHAWEA,MZ,mahawea,mis,,,1,3.0480444673947077e-4
6,Q2OTHER,respondent_other,,Maindo,MZ,maindo,cwb,main1272,eko mua,1,1.429489244378855e-4
6,Q2OTHER,respondent_other,,MANHGUE,MZ,manhgue,mis,,,1,5.642911556602737e-4
6,Q2OTHER,respondent_other,,Manhungue,MZ,manhungue,mxc,many1258,shn,1,5.721882955314504e-4
6,Q2OTHER,respondent_other,,MAONE,MZ,maone,mis,,,2,0.0017756692408793825
6,Q2OTHER,respondent_other,,MAPEX,MZ,mapex,mis,,,1,3.7618016232003084e-4
6,Q2OTHER,respondent_other,,maronga,MZ,maronga,rng,rong1268,rga,1,2.3921443950312963e-4
6,Q2OTHER,respondent_other,,MARONGA,MZ,maronga,rng,rong1268,rga,3,0.001652601660050488
6,Q2OTHER,respondent_other,,MASSEMA,MZ,massema,seh,nucl1396,sen,1,3.293992512088275e-4
6,Q2OTHER,respondent_other,,MATCWE,MZ,matcwe,mis,,,1,2.0345472797596097e-4
6,Q2OTHER,respondent_other,,MATEU,MZ,mateu,mis,,,1,3.0480444673947077e-4
6,Q2OTHER,respondent_other,,matewe,MZ,matewe,twx,tewe1238,shn,1,1.690204653871092e-4
6,Q2OTHER,respondent_other,,MATEWE,MZ,matewe,twx,tewe1238,shn,6,0.002052518202480515
6,Q2OTHER,respondent_other,,mateyu,MZ,mateyu,mis,,,1,5.284113711963259e-4
6,Q2OTHER,respondent_other,,Matowe,MZ,matowe,twx,tewe1238,shn,1,4.462140467880083e-4
6,Q2OTHER,respondent_other,,matsua,MZ,matsua,tsc,tswa1255,rga tsn,2,0.00167919199539896
6,Q2OTHER,respondent_other,,MATSUA,MZ,matsua,tsc,tswa1255,rga tsn,1,6.071273355816479e-4
6,Q2OTHER,respondent_other,,MATSWA,MZ,matswa,tsc,tswa1255,rga tsn,1,0.0013071118865892808
6,Q2OTHER,respondent_other,,MATXSUA,MZ,matxsua,tsc,tswa1255,rga tsn,1,4.198052818927029e-4
6,Q2OTHER,respondent_other,,Medindo,MZ,medindo,cwb,main1272,eko mua,1,1.429489244378855e-4
6,Q2OTHER,respondent_other,,MONGA,MZ,monga,rng,rong1268,rga,1,4.953567173359121e-4
6,Q2OTHER,respondent_other,,moniaco,MZ,moniaco,mhm,makh1265,mua,1,2.3921443950312963e-4
6,Q2OTHER,respondent_other,,moniga,MZ,moniga,mhm,makh1265,mua,1,4.953567173359121e-4
6,Q2OTHER,respondent_other,,MONIGA,MZ,moniga,mhm,makh1265,mua,3,0.00118286811510178
6,Q2OTHER,respondent_other,,Mtsua,MZ,mtsua,tsc,tswa1255,rga tsn,1,1.5510164653529412e-4
6,Q2OTHER,respondent_other,,MUali,MZ,muali,vmw,enla1242,mua,1,1.5559618618581588e-4
6,Q2OTHER,respondent_other,,MUALI,MZ,muali,vmw,enla1242,mua,2,3.1119237237163175e-4
6,Q2OTHER,respondent_other,,MUANDI,MZ,muandi,wmw,mwan1247,swa,1,6.618731707828459e-4
6,Q2OTHER,respondent_other,,muani,MZ,muani,wmw,mwan1247,swa,2,0.0013237463415656917
6,Q2OTHER,respondent_other,,MUANI,MZ,muani,wmw,mwan1247,swa,6,0.0019278603220219844
6,Q2OTHER,respondent_other,,MUANY,MZ,muany,wmw,mwan1247,swa,1,3.4242948550742056e-4
6,Q2OTHER,respondent_other,,MUNGA,MZ,munga,mhm,makh1265,mua,1,4.634337288853758e-4
6,Q2OTHER,respondent_other,,MUNI,MZ,muni,mis,,,1,1.5559618618581588e-4
6,Q2OTHER,respondent_other,,muninga,MZ,muninga,mhm,makh1265,mua,1,1.6141639584819962e-4
6,Q2OTHER,respondent_other,,Naindo,MZ,naindo,cwb,main1272,eko mua,1,1.429489244378855e-4
6,Q2OTHER,respondent_other,,NAMICA,MZ,namica,mis,,,1,3.7618016232003084e-4
6,Q2OTHER,respondent_other,,NAONIGA,MZ,naoniga,mis,,,1,1.6141639584819962e-4
6,Q2OTHER,respondent_other,,NGONY,MZ,ngony,mis,,,1,4.5204313094101666e-4
6,Q2OTHER,respondent_other,,Ngungue,MZ,ngungue,nyu,nyun1248,sen,4,0.0010703394734371554
6,Q2OTHER,respondent_other,,NHUGUE,MZ,nhugue,nyu,nyun1248,sen,1,3.293992512088275e-4
6,Q2OTHER,respondent_other,,NHUMGUE,MZ,nhumgue,nyu,nyun1248,sen,1,3.695819435154439e-4
6,Q2OTHER,respondent_other,,nhungoe,MZ,nhungoe,nyu,nyun1248,sen,1,2.4834709781014215e-4
6,Q2OTHER,respondent_other,,nhungue,MZ,nhungue,mxc,hung1277,shn,13,0.005880794248312694
6,Q2OTHER,respondent_other,,Nhungue,MZ,nhungue,mxc,hung1277,shn,12,0.003693054470915986
6,Q2OTHER,respondent_other,,NHUNGUE,MZ,nhungue,mxc,hung1277,shn,10,0.004866966332334957
6,Q2OTHER,respondent_other,,nhunguem,MZ,nhunguem,nyu,nyun1248,sen,1,4.656120628419013e-4
6,Q2OTHER,respondent_other,,NHUNGWE,MZ,nhungwe,nyu,nyun1248,sen,1,3.6307903541839796e-4
6,Q2OTHER,respondent_other,,Nhunhue,MZ,nhunhue,nyu,nyun1248,sen,1,3.6307903541839796e-4
6,Q2OTHER,respondent_other,,NHUNQUE,MZ,nhunque,nyu,nyun1248,sen,1,9.992822487082038e-5
6,Q2OTHER,respondent_other,,nunga,MZ,nunga,mis,,,1,1.6141639584819962e-4
6,Q2OTHER,respondent_other,,NUTO,MZ,nuto,mis,,,1,6.527062080019759e-4
6,Q2OTHER,respondent_other,,Nyanja,MZ,nyanja,nya,nucl1395,cic,1,0.001334062512717513
6,Q2OTHER,respondent_other,,Nyongue,MZ,nyongue,nyu,nyun1248,sen,1,0.001334062512717513
6,Q2OTHER,respondent_other,,NYUENGE,MZ,nyuenge,nyu,nyun1248,sen,1,5.186564750643963e-4
6,Q2OTHER,respondent_other,,NYUGUE,MZ,nyugue,nyu,nyun1248,sen,2,7.261580708367959e-4
6,Q2OTHER,respondent_other,,nyungue,MZ,nyungue,nyu,nyun1248,sen,23,0.014959318849302364
6,Q2OTHER,respondent_other,,Nyungue,MZ,nyungue,nyu,nyun1248,sen,13,0.005598314073219575
6,Q2OTHER,respondent_other,,NYUNGUE,MZ,nyungue,nyu,nyun1248,sen,7,0.0018846569429184382
6,Q2OTHER,respondent_other,,Nyungunhe,MZ,nyungunhe,nyu,nyun1248,sen,1,5.186564750643963e-4
6,Q2OTHER,respondent_other,,ronga,MZ,ronga,rng,rong1268,rga,2,0.001060746534695145
6,Q2OTHER,respondent_other,,rONGA,MZ,ronga,rng,rong1268,rga,1,1.9547056823626107e-4
6,Q2OTHER,respondent_other,,RONGA,MZ,ronga,rng,rong1268,rga,7,0.0031881913429559084
6,Q2OTHER,respondent_other,,shona,MZ,shona,sna,shon1251,shn,1,2.609438870105313e-4
6,Q2OTHER,respondent_other,,SHONA,MZ,shona,sna,shon1251,shn,4,0.001080383980525611
6,Q2OTHER,respondent_other,,Tchitchewa,MZ,tchitchewa,nya,chew1246,cic,1,3.073548044013147e-4
6,Q2OTHER,respondent_other,,Tchthewa,MZ,tchthewa,nya,chew1246,cic,1,5.174712525429213e-4
6,Q2OTHER,respondent_other,,tewe,MZ,tewe,twx,tewe1238,shn,1,1.3243795255043141e-4
6,Q2OTHER,respondent_other,,Tewe,MZ,tewe,twx,tewe1238,shn,1,0.00102093648021548
6,Q2OTHER,respondent_other,,TEWE,MZ,tewe,twx,tewe1238,shn,3,9.24060174880718e-4
6,Q2OTHER,respondent_other,,xitsua,MZ,xitsua,tsc,tswa1255,rga tsn,16,0.006351442801760074
6,Q2OTHER,respondent_other,,Xitsua,MZ,xitsua,tsc,tswa1255,rga tsn,3,8.542386227092875e-4
6,Q2OTHER,respondent_other,,XITSUA,MZ,xitsua,tsc,tswa1255,rga tsn,9,0.00261219827885354
6,Q2OTHER,respondent_other,,Xitswa,MZ,xitswa,tsc,tswa1255,rga tsn,1,2.3228360164396117e-4
