round,variable,lang_id,lang_name,country,iso_alpha2,wals_code,wals_name,auto
1,language,116,Ogoja,7,NG,ido,Idoma,1
1,language,117,Knale,7,NG,,,
1,language,118,Igala,7,NG,ise,Isekiri,1
1,language,118,Igala,7,NG,yor,Yoruba,1
1,language,119,Boki,7,NG,agh,Aghem,1
1,language,119,Boki,7,NG,aka,Aka,1
1,language,119,Boki,7,NG,bab,Babungo,1
1,language,119,Boki,7,NG,baf,Bafut,1
1,language,119,Boki,7,NG,bas,Basaá,1
1,language,119,Boki,7,NG,bbl,Babole,1
1,language,119,Boki,7,NG,bdu,Budu,1
1,language,119,Boki,7,NG,bee,Beembe,1
1,language,119,Boki,7,NG,bfi,Bafia,1
1,language,119,Boki,7,NG,bga,Benga,1
1,language,119,Boki,7,NG,bia,Bira,1
1,language,119,Boki,7,NG,bku,Bakueri,1
1,language,119,Boki,7,NG,blu,Bena-Lulua,1
1,language,119,Boki,7,NG,bmn,Bamun,1
1,language,119,Boki,7,NG,bnk,Bankon,1
1,language,119,Boki,7,NG,bob,Bobangi,1
1,language,119,Boki,7,NG,bol,Bolia,1
1,language,119,Boki,7,NG,bsh,Bushoong,1
1,language,119,Boki,7,NG,bub,Bubi,1
1,language,119,Boki,7,NG,buj,Bujeba,1
1,language,119,Boki,7,NG,buk,Bukusu,1
1,language,119,Boki,7,NG,buw,Bulu,1
1,language,119,Boki,7,NG,cga,Chaga,1
1,language,119,Boki,7,NG,cic,Chichewa,1
1,language,119,Boki,7,NG,com,Comorian,1
1,language,119,Boki,7,NG,dbd,Dabida,1
1,language,119,Boki,7,NG,dma,Duma,1
1,language,119,Boki,7,NG,dng,Ding,1
1,language,119,Boki,7,NG,dua,Duala,1
1,language,119,Boki,7,NG,eja,Ejagham,1
1,language,119,Boki,7,NG,eko,Ekoti,1
1,language,119,Boki,7,NG,eny,Enya,1
1,language,119,Boki,7,NG,ewo,Ewondo,1
1,language,119,Boki,7,NG,fef,Fe'fe',1
1,language,119,Boki,7,NG,gun,Gunu,1
1,language,119,Boki,7,NG,gus,Gusii,1
1,language,119,Boki,7,NG,heh,Hehe,1
1,language,119,Boki,7,NG,hem,Hemba,1
1,language,119,Boki,7,NG,her,Herero,1
1,language,119,Boki,7,NG,hnd,Hunde,1
1,language,119,Boki,7,NG,hol,Holoholo,1
1,language,119,Boki,7,NG,hya,Haya,1
1,language,119,Boki,7,NG,ifm,Ifumu,1
1,language,119,Boki,7,NG,ila,Ila,1
1,language,119,Boki,7,NG,jar,Jarawa (in Nigeria),1
1,language,119,Boki,7,NG,kba,Kamba,1
1,language,119,Boki,7,NG,kga,Kinga,1
1,language,119,Boki,7,NG,kgr,Kagulu,1
1,language,119,Boki,7,NG,kik,Kikuyu,1
1,language,119,Boki,7,NG,kil,Kiluba,1
1,language,119,Boki,7,NG,kin,Kinyarwanda,1
1,language,119,Boki,7,NG,klz,Kalanga,1
1,language,119,Boki,7,NG,kmi,Kami,1
1,language,119,Boki,7,NG,kon,Kongo,1
1,language,119,Boki,7,NG,kou,Kom,1
1,language,119,Boki,7,NG,kte,Kete,1
1,language,119,Boki,7,NG,kwn,Kwangali,1
1,language,119,Boki,7,NG,kwy,Iwoyo,1
1,language,119,Boki,7,NG,kyg,Kenyang,1
1,language,119,Boki,7,NG,kyo,Kanyok,1
1,language,119,Boki,7,NG,lbu,Lunda,1
1,language,119,Boki,7,NG,lda,Luganda,1
1,language,119,Boki,7,NG,ldo,Londo,1
1,language,119,Boki,7,NG,leb,Lebeo,1
1,language,119,Boki,7,NG,leg,Lega,1
1,language,119,Boki,7,NG,lgi,Langi,1
1,language,119,Boki,7,NG,lin,Lingala,1
1,language,119,Boki,7,NG,lmb,Lamba,1
1,language,119,Boki,7,NG,lns,Lamnso',1
1,language,119,Boki,7,NG,loz,Lozi,1
1,language,119,Boki,7,NG,luc,Lucazi,1
1,language,119,Boki,7,NG,luv,Luvale,1
1,language,119,Boki,7,NG,luy,Luyia,1
1,language,119,Boki,7,NG,mbe,Mbere,1
1,language,119,Boki,7,NG,mbi,Mbili,1
1,language,119,Boki,7,NG,mbl,Mbole,1
1,language,119,Boki,7,NG,mbz,Mbe',1
1,language,119,Boki,7,NG,mdw,Mbosi,1
1,language,119,Boki,7,NG,mgk,Mungaka,1
1,language,119,Boki,7,NG,mgo,Mongo,1
1,language,119,Boki,7,NG,mhu,Mbalanhu,1
1,language,119,Boki,7,NG,mit,Mituku,1
1,language,119,Boki,7,NG,mkd,Makonde,1
1,language,119,Boki,7,NG,mkq,Mankon,1
1,language,119,Boki,7,NG,mkz,Makaa,1
1,language,119,Boki,7,NG,mmw,Mambwe,1
1,language,119,Boki,7,NG,mpo,Mpongwe,1
1,language,119,Boki,7,NG,mtb,Matuumbi,1
1,language,119,Boki,7,NG,mua,Makua,1
1,language,119,Boki,7,NG,mud,Mundani,1
1,language,119,Boki,7,NG,mwe,Mwera,1
1,language,119,Boki,7,NG,nbe,Ngombe,1
1,language,119,Boki,7,NG,nbo,Nyambo,1
1,language,119,Boki,7,NG,ndb,Ndebele (in South Africa),1
1,language,119,Boki,7,NG,nde,Nande,1
1,language,119,Boki,7,NG,ndo,Ndonga,1
1,language,119,Boki,7,NG,ndu,Ndumu,1
1,language,119,Boki,7,NG,ngo,Ngoni,1
1,language,119,Boki,7,NG,nke,Nkem,1
1,language,119,Boki,7,NG,nko,Nkore-Kiga,1
1,language,119,Boki,7,NG,nng,Nyanga,1
1,language,119,Boki,7,NG,non,Noni,1
1,language,119,Boki,7,NG,nse,Nsenga,1
1,language,119,Boki,7,NG,nto,Ntomba,1
1,language,119,Boki,7,NG,nyh,Nyiha,1
1,language,119,Boki,7,NG,nym,Nyamwezi,1
1,language,119,Boki,7,NG,oku,Oku,1
1,language,119,Boki,7,NG,png,Pangwa,1
1,language,119,Boki,7,NG,pog,Pogoro,1
1,language,119,Boki,7,NG,pre,Pare,1
1,language,119,Boki,7,NG,rga,Ronga,1
1,language,119,Boki,7,NG,rim,Rimi,1
1,language,119,Boki,7,NG,rnd,Rundi,1
1,language,119,Boki,7,NG,rny,Runyankore,1
1,language,119,Boki,7,NG,rru,Runyoro-Rutooro,1
1,language,119,Boki,7,NG,sen,Sena,1
1,language,119,Boki,7,NG,ses,Sesotho,1
1,language,119,Boki,7,NG,sge,Songe,1
1,language,119,Boki,7,NG,sgl,Sengele,1
1,language,119,Boki,7,NG,sgu,Sangu,1
1,language,119,Boki,7,NG,shm,Shambala,1
1,language,119,Boki,7,NG,shn,Shona,1
1,language,119,Boki,7,NG,skm,Sukuma,1
1,language,119,Boki,7,NG,sku,Suku,1
1,language,119,Boki,7,NG,stn,Sotho (Northern),1
1,language,119,Boki,7,NG,sub,Subiya,1
1,language,119,Boki,7,NG,swa,Swahili,1
1,language,119,Boki,7,NG,swt,Swati,1
1,language,119,Boki,7,NG,tal,Talinga,1
1,language,119,Boki,7,NG,tbw,Tabwa,1
