round,variable,country,lang_name,iso_639_3,iso_scope,iso_ref_name,iso_alpha2
4,Q3OTHER,17,kilungwa,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kimakua,mgh,I,Makhuwa-Meetto,TZ
4,Q3OTHER,17,kimalila,mgq,I,Malila,TZ
4,Q3OTHER,17,kimambwe,mgr,I,Mambwe-Lungu,TZ
4,Q3OTHER,17,kimatengo,mgv,I,Matengo,TZ
4,Q3OTHER,17,kimatumbi,mgw,I,Matumbi,TZ
4,Q3OTHER,17,kimbembe,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kimbulu,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kimbungo,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kimeru,rwk,I,Rwa,TZ
4,Q3OTHER,12,kimwani,wmw,I,Mwani,MZ
4,Q3OTHER,17,kimwera,mwe,I,Mwera (Chimwera),TZ
4,Q3OTHER,17,kindali,ndh,I,Ndali,TZ
4,Q3OTHER,17,kindamba,ndj,I,Ndamba,TZ
4,Q3OTHER,17,kindendeule,dne,I,Ndendeule,TZ
4,Q3OTHER,17,kindengereko,ndg,I,Ndengereko,TZ
4,Q3OTHER,17,kingindo,nnq,I,Ngindo,TZ
4,Q3OTHER,17,kingoni,ngo,I,Ngoni,TZ
4,Q3OTHER,17,kinyagazwa,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kinyambo,now,I,Nyambo,TZ
4,Q3OTHER,17,kinyamwanga,mwn,I,Nyamwanga,TZ
4,Q3OTHER,17,kinyiha,nkt,I,Nyika (Tanzania),TZ
4,Q3OTHER,17,kipangwa,pbr,I,Pangwa,TZ
4,Q3OTHER,17,kipimbwe,piw,I,Pimbwe,TZ
4,Q3OTHER,17,kipogoro,poy,I,Pogolo,TZ
4,Q3OTHER,6,kipsigis,sgc,I,Kipsigis,KE
4,Q3OTHER,6,kipsigis,kln,M,Kalenjin,KE
4,Q3OTHER,17,kirangi,lag,I,Langi,TZ
4,Q3OTHER,17,kiryeri,ssc,I,Suba-Simbiti,TZ
4,Q3OTHER,17,kisafwa,sbk,I,Safwa,TZ
4,Q3OTHER,17,kisagara,sbm,I,Sagala,TZ
4,Q3OTHER,17,kisambaa,ksb,I,Shambala,TZ
4,Q3OTHER,17,kisangu,sbp,I,Sangu (Tanzania),TZ
4,Q3OTHER,17,kishihiri,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kishirazi,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kishubi,suj,I,Shubi,TZ
4,Q3OTHER,17,kisuba,ssc,I,Suba-Simbiti,TZ
4,Q3OTHER,17,kisumbwa,suw,I,Sumbwa,TZ
4,Q3OTHER,17,kitumbatu,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kividunda,vid,I,Vidunda,TZ
4,Q3OTHER,17,kiwanji,wbi,I,Vwanji,TZ
4,Q3OTHER,17,kiyao,yao,I,Yao,TZ
4,Q3OTHER,17,kizanaki,zak,I,Zanaki,TZ
4,Q3OTHER,17,kizaramo,zaj,I,Zaramo,TZ
4,Q3OTHER,17,kizigua,ziw,I,Zigula,TZ
4,Q3OTHER,17,kizinza,zin,I,Zinza,TZ
4,Q3OTHER,5,konkoba,xon,I,Konkomba,GH
4,Q3OTHER,20,korekore,sna,I,Shona,ZW
4,Q3OTHER,5,kotokoli,kdh,I,Tem,GH
4,Q3OTHER,18,kumam,kdi,I,Kumam,UG
4,Q3OTHER,19,kunda,nya,I,Nyanja,ZM
4,Q3OTHER,5,kusal,kus,I,Kusaal,GH
4,Q3OTHER,5,kusasi,kus,I,Kusaal,GH
4,Q3OTHER,14,kuteb,kub,I,Kutep,NG
4,Q3OTHER,14,kwalla,kwl,I,Kofyar,NG
4,Q3OTHER,19,lala,leb,I,Lala-Bisa,ZM
4,Q3OTHER,19,lamba,lam,I,Lamba,ZM
4,Q3OTHER,5,larteh,lar,I,Larteh,GH
4,Q3OTHER,5,lekpekpe,lip,I,Sekpele,GH
4,Q3OTHER,12,lolo,llb,I,Lolo,MZ
4,Q3OTHER,12,lomue,ngl,I,Lomwe,MZ
4,Q3OTHER,12,lomwe,ngl,I,Lomwe,MZ
4,Q3OTHER,19,luchazi,lch,I,Luchazi,ZM
4,Q3OTHER,18,lululi,ruc,I,Ruuli,UG
4,Q3OTHER,19,lunda kazembe,bem,I,Bemba (Zambia),ZM
4,Q3OTHER,19,lungu,mgr,I,Mambwe-Lungu,ZM
4,Q3OTHER,18,lwamba,rwm,I,Amba (Uganda),UG
4,Q3OTHER,12,macheua,mis,S,Uncoded languages,MZ
4,Q3OTHER,12,makwe,ymk,I,Makwe,MZ
4,Q3OTHER,20,malawian,mis,S,Uncoded languages,ZW
4,Q3OTHER,12,malolo,mis,S,Uncoded languages,MZ
4,Q3OTHER,14,mambilla,mzk,I,Nigeria Mambila,NG
4,Q3OTHER,5,mampruli,maw,I,Mampruli,GH
4,Q3OTHER,5,mamprusi,maw,I,Mampruli,GH
4,Q3OTHER,14,manga,kby,I,Manga Kanuri,NG
4,Q3OTHER,14,manga,kau,M,Kanuri,NG
4,Q3OTHER,12,manhembane,mis,S,Uncoded languages,MZ
4,Q3OTHER,12,manhungue,mxc,I,Manyika,MZ
4,Q3OTHER,20,manica (mozambican),mxc,I,Manyika,ZW
4,Q3OTHER,20,manyika,mxc,I,Manyika,ZW
4,Q3OTHER,12,marenge,vmr,I,Marenje,MZ
4,Q3OTHER,12,marenje,vmr,I,Marenje,MZ
4,Q3OTHER,14,marghi,mrt,I,Marghi Central,NG
4,Q3OTHER,15,marocain,mis,S,Uncoded languages,SN
4,Q3OTHER,12,mateue,mis,S,Uncoded languages,MZ
4,Q3OTHER,12,mathewe,twx,I,Tewe,MZ
4,Q3OTHER,12,matsua,tsc,I,Tswa,MZ
4,Q3OTHER,20,maungwe,mis,S,Uncoded languages,ZW
4,Q3OTHER,14,mbembe,mfn,I,Cross River Mbembe,NG
4,Q3OTHER,19,mbunda,mck,I,Mbunda,ZM
4,Q3OTHER,14,michica,mis,S,Uncoded languages,NG
4,Q3OTHER,14,minyam,mis,S,Uncoded languages,NG
4,Q3OTHER,5,mossi,mos,I,Mossi,GH
4,Q3OTHER,20,mozambican,mis,S,Uncoded languages,ZW
4,Q3OTHER,12,muani,wmw,I,Mwani,MZ
