respno,country,lang_name,iso_639_3,glottocode,wals,lang_numb
BEN0155,BJ,francais,fra,stan1290,fre,3
BEN0155,BJ,adja,ajg,ajab1235,ajg,3
BEN0156,BJ,adja,ajg,ajab1235,ajg,1
BEN0157,BJ,fon,fon,fonn1241,fon,3
BEN0157,BJ,francais,fra,stan1290,fre,3
BEN0157,BJ,anglais,eng,stan1293,eng,3
BEN0158,BJ,adja,ajg,ajab1235,ajg,4
BEN0158,BJ,fon,fon,fonn1241,fon,4
BEN0158,BJ,francais,fra,stan1290,fre,4
BEN0158,BJ,dendi,ddn,dend1243,zar,4
BEN0159,BJ,adja,ajg,ajab1235,ajg,2
BEN0159,BJ,fon,fon,fonn1241,fon,2
BEN0160,BJ,adja,ajg,ajab1235,ajg,3
BEN0160,BJ,fon,fon,fonn1241,fon,3
BEN0160,BJ,francais,fra,stan1290,fre,3
BEN0161,BJ,fon,fon,fonn1241,fon,3
BEN0161,BJ,francais,fra,stan1290,fre,3
BEN0161,BJ,adja,ajg,ajab1235,ajg,3
BEN0162,BJ,fon,fon,fonn1241,fon,3
BEN0162,BJ,adja,ajg,ajab1235,ajg,3
BEN0162,BJ,francais,fra,stan1290,fre,3
BEN0163,BJ,adja,ajg,ajab1235,ajg,2
BEN0163,BJ,fon,fon,fonn1241,fon,2
BEN0164,BJ,adja,ajg,ajab1235,ajg,2
BEN0164,BJ,fon,fon,fonn1241,fon,2
BEN0165,BJ,francais,fra,stan1290,fre,2
BEN0165,BJ,adja,ajg,ajab1235,ajg,2
BEN0166,BJ,francais,fra,stan1290,fre,3
BEN0166,BJ,fon,fon,fonn1241,fon,3
BEN0166,BJ,dendi,ddn,dend1243,zar,3
BEN0167,BJ,francais,fra,stan1290,fre,2
BEN0167,BJ,adja,ajg,ajab1235,ajg,2
BEN0168,BJ,dendi,ddn,dend1243,zar,4
BEN0168,BJ,fon,fon,fonn1241,fon,4
BEN0168,BJ,francais,fra,stan1290,fre,4
BEN0168,BJ,adja,ajg,ajab1235,ajg,4
BEN0169,BJ,adja,ajg,ajab1235,ajg,2
BEN0169,BJ,fon,fon,fonn1241,fon,2
BEN0170,BJ,adja,ajg,ajab1235,ajg,2
BEN0170,BJ,fon,fon,fonn1241,fon,2
BEN0171,BJ,adja,ajg,ajab1235,ajg,3
BEN0171,BJ,fon,fon,fonn1241,fon,3
BEN0171,BJ,yoruba,yor,yoru1245,yor,3
BEN0172,BJ,aja,,,,2
BEN0172,BJ,fon,fon,fonn1241,fon,2
BEN0173,BJ,fon,fon,fonn1241,fon,1
BEN0174,BJ,fon,fon,fonn1241,fon,1
BEN0175,BJ,adja,ajg,ajab1235,ajg,2
BEN0175,BJ,fon,fon,fonn1241,fon,2
BEN0176,BJ,adja,ajg,ajab1235,ajg,2
BEN0176,BJ,fon,fon,fonn1241,fon,2
BEN0177,BJ,adja,ajg,ajab1235,ajg,2
BEN0177,BJ,fon,fon,fonn1241,fon,2
BEN0178,BJ,adja,ajg,ajab1235,ajg,2
BEN0178,BJ,fon,fon,fonn1241,fon,2
BEN0179,BJ,adja,ajg,ajab1235,ajg,2
BEN0179,BJ,francais,fra,stan1290,fre,2
BEN0180,BJ,adja,ajg,ajab1235,ajg,1
BEN0181,BJ,adja,ajg,ajab1235,ajg,1
BEN0182,BJ,francais,fra,stan1290,fre,2
BEN0182,BJ,adja,ajg,ajab1235,ajg,2
BEN0183,BJ,adja,ajg,ajab1235,ajg,2
BEN0183,BJ,fon,fon,fonn1241,fon,2
BEN0184,BJ,adja,ajg,ajab1235,ajg,2
BEN0184,BJ,fon,fon,fonn1241,fon,2
BEN0185,BJ,adja,ajg,ajab1235,ajg,1
BEN0186,BJ,adja,ajg,ajab1235,ajg,2
BEN0186,BJ,fon,fon,fonn1241,fon,2
BEN0187,BJ,adja,ajg,ajab1235,ajg,2
BEN0187,BJ,fon,fon,fonn1241,fon,2
BEN0188,BJ,adja,ajg,ajab1235,ajg,3
