round,variable,value,name,country,iso_alpha2,n_resp,prop
1,language,120,Igbira,7,NG,10,0.002775464890369137
1,language,121,Ikpon,7,NG,1,2.775464890369137e-4
1,language,122,Isoko,7,NG,27,0.00749375520399667
1,language,123,Ikan,7,NG,4,0.0011101859561476548
1,language,124,Ishan/Esan,7,NG,19,0.00527338329170136
1,language,125,Anam,7,NG,1,2.775464890369137e-4
1,language,126,Annag,7,NG,5,0.0013877324451845685
1,language,127,Itsekiri,7,NG,6,0.0016652789342214821
1,language,128,Ika,7,NG,2,5.550929780738274e-4
1,language,129,Ukwale,7,NG,1,2.775464890369137e-4
1,language,130,Epie,7,NG,5,0.0013877324451845685
1,language,131,Tangoa,7,NG,1,2.775464890369137e-4
1,language,132,Omoku,7,NG,1,2.775464890369137e-4
1,language,133,Ora,7,NG,1,2.775464890369137e-4
1,language,134,Auche,7,NG,1,2.775464890369137e-4
1,language,135,Okirika,7,NG,5,0.0013877324451845685
1,language,136,Esako,7,NG,2,5.550929780738274e-4
1,language,137,Okpe,7,NG,1,2.775464890369137e-4
1,language,138,Owan,7,NG,1,2.775464890369137e-4
1,language,139,Ikwerre,7,NG,66,0.018318068276436304
1,language,140,Ibani,7,NG,2,5.550929780738274e-4
1,language,141,Kalabari,7,NG,4,0.0011101859561476548
1,language,142,Ogoni,7,NG,2,5.550929780738274e-4
1,language,143,Akassa,7,NG,1,2.775464890369137e-4
1,language,145,Berieberi,7,NG,1,2.775464890369137e-4
1,language,146,Fulani,7,NG,27,0.00749375520399667
1,language,147,Kagoro,7,NG,1,2.775464890369137e-4
1,language,148,Bekwarr,7,NG,3,8.326394671107411e-4
1,language,149,Nkwana,7,NG,1,2.775464890369137e-4
1,language,150,Babur,7,NG,4,0.0011101859561476548
1,language,151,Kiiba,7,NG,2,5.550929780738274e-4
1,language,152,Nungu,7,NG,1,2.775464890369137e-4
1,language,153,Kabba/Koro,7,NG,2,5.550929780738274e-4
1,language,154,Eggon,7,NG,2,5.550929780738274e-4
1,language,155,Kuba,7,NG,2,5.550929780738274e-4
1,language,156,Madara,7,NG,1,2.775464890369137e-4
1,language,157,Bura,7,NG,6,0.0016652789342214821
1,language,158,Margi,7,NG,4,0.0011101859561476548
1,language,159,Cabarmawa,7,NG,1,2.775464890369137e-4
1,language,160,Kibaku,7,NG,1,2.775464890369137e-4
1,language,161,Mafa,7,NG,3,8.326394671107411e-4
1,language,162,Beron/Birom,7,NG,22,0.006106022758812101
1,language,163,Angas,7,NG,7,0.0019428254232583958
1,language,164,Iregwe,7,NG,1,2.775464890369137e-4
1,language,165,Afizere,7,NG,1,2.775464890369137e-4
1,language,166,Koro,7,NG,1,2.775464890369137e-4
1,language,167,Normana,7,NG,1,2.775464890369137e-4
1,language,168,Miango,7,NG,1,2.775464890369137e-4
1,language,169,Gyerawa,7,NG,2,5.550929780738274e-4
1,language,170,Eterco,7,NG,1,2.775464890369137e-4
1,language,171,Zar,7,NG,1,2.775464890369137e-4
1,language,172,Lantan,7,NG,1,2.775464890369137e-4
1,language,173,Mwaghauw,7,NG,2,5.550929780738274e-4
1,language,174,Pyem,7,NG,3,8.326394671107411e-4
1,language,175,Chawai,7,NG,1,2.775464890369137e-4
1,language,176,Gbaji,7,NG,2,5.550929780738274e-4
1,language,177,Nanba/Wanba,7,NG,1,2.775464890369137e-4
1,language,178,Jarawa,7,NG,9,0.002497918401332223
1,language,179,Katap,7,NG,1,2.775464890369137e-4
1,language,180,Tangale,7,NG,1,2.775464890369137e-4
