from,to,distance
abd,ncm,4
abd,ndb,4
abd,nde,4
abd,ndg,4
abd,ndi,4
abd,ndo,4
abd,ndu,4
abd,ney,4
abd,ngb,4
abd,nge,4
abd,ngo,4
abd,nke,4
abd,nko,4
abd,nng,4
abd,nnn,4
abd,non,4
abd,nrg,4
abd,nse,4
abd,ntn,4
abd,nto,4
abd,nup,4
abd,nyh,4
abd,nym,4
abd,nza,4
abd,obg,4
abd,obo,4
abd,ogb,4
abd,oku,4
abd,ora,4
abd,png,4
abd,pog,4
abd,pre,4
abd,rga,4
abd,rim,4
abd,rnd,4
abd,rny,4
abd,rru,4
abd,sen,4
abd,ses,4
abd,sge,4
abd,sgl,4
abd,sgu,4
abd,shm,4
abd,shn,4
abd,skm,4
abd,sku,4
abd,sle,4
abd,sme,4
abd,snd,4
abd,ssa,4
abd,stn,4
abd,sub,4
abd,sup,4
abd,swa,4
abd,swt,4
abd,tal,4
abd,tbw,4
abd,tem,4
abd,tet,4
abd,tgo,4
abd,tik,4
abd,tiv,4
abd,tki,4
abd,tks,4
abd,tmp,4
abd,tnn,4
abd,tny,4
abd,tok,4
abd,tou,4
abd,tow,4
abd,toz,4
abd,tpr,4
abd,tsn,4
abd,tsw,4
abd,umb,4
abd,urh,4
abd,vag,4
abd,vat,4
abd,ven,4
abd,vif,4
abd,wob,4
abd,wwa,4
abd,xho,4
abd,xsm,4
abd,yak,4
abd,yao,4
abd,yba,4
abd,yem,4
abd,yey,4
abd,ygd,4
abd,ykm,4
abd,yns,4
abd,yor,4
abd,zan,4
abd,zno,4
abd,zso,4
abd,zul,4
abd,bfd,5
abd,bgs,5
abd,blz,5
abd,bsr,5
abd,csk,5
abd,def,5
abd,dio,5
abd,fbf,5
abd,fgo,5
abd,fgu,5
abd,fli,5
abd,fma,5
abd,fni,5
abd,fua,5
abd,fum,5
abd,fus,5
abd,gol,5
abd,ijo,5
abd,kgi,5
abd,kis,5
abd,kss,5
abd,mjk,5
abd,mkn,5
abd,ndt,5
abd,noo,5
abd,plr,5
abd,tne,5
abd,wlf,5
abd,bam,6
abd,bbf,6
abd,bis,6
abd,bnd,6
abd,bnq,6
abd,bok,6
abd,boz,6
abd,bus,6
abd,dan,6
abd,dbw,6
abd,dyu,6
abd,gro,6
abd,jel,6
abd,jom,6
abd,kko,6
abd,kpe,6
abd,ktl,6
abd,laf,6
abd,lma,6
abd,lok,6
abd,man,6
abd,maw,6
abd,mde,6
abd,mdk,6
abd,mka,6
abd,mkg,6
abd,mnk,6
abd,mro,6
abd,msk,6
abd,ori,6
