round,variable,country,lang_name,iso_alpha2,n_resp,prop
4,Q3OTHER,3,sissaba,BF,1,0.07633882242283377
4,Q3OTHER,19,swaka,ZM,1,0.009433100922489227
4,Q3OTHER,12,tacuane,MZ,8,0.010693915875747018
4,Q3OTHER,5,talensi,GH,5,0.02244166776765046
4,Q3OTHER,3,tamacheck,BF,1,0.0951207280228362
4,Q3OTHER,5,tampulma,GH,1,0.008156105604364736
4,Q3OTHER,14,tangale,NG,8,0.033385410234171034
4,Q3OTHER,14,tarah,NG,1,0.001193679737581909
4,Q3OTHER,20,taura (mozambican),ZW,1,0.004715002173731208
4,Q3OTHER,14,tera,NG,1,0.004188217770391575
4,Q3OTHER,6,teso,KE,7,0.18502929018841138
4,Q3OTHER,12,tewe,MZ,8,0.02712745943952898
4,Q3OTHER,14,tigum,NG,3,0.0097508395984726
4,Q3OTHER,14,tigun,NG,1,0.001529212990376835
4,Q3OTHER,6,tiriki,KE,1,0.0267439029744914
4,Q3OTHER,19,tokaleya,ZM,12,0.0633667421531327
4,Q3OTHER,12,tonga,MZ,1,0.004333063422396601
4,Q3OTHER,13,totela,NA,1,0.02663401116511848
4,Q3OTHER,3,toussian,BF,2,0.19281774780952274
4,Q3OTHER,14,ugep,NG,10,0.017126661734523704
4,Q3OTHER,19,ushi,ZM,12,0.12163562024907726
4,Q3OTHER,19,usmi,ZM,2,0.02039685927327149
4,Q3OTHER,13,uumbundu,NA,2,0.0968436374273694
4,Q3OTHER,5,wa dormu,GH,1,0.0034354726345355844
4,Q3OTHER,5,waala,GH,10,0.03284253821025172
4,Q3OTHER,14,waja,NG,2,0.006598206950423461
4,Q3OTHER,5,wassa,GH,7,0.03206599741417353
4,Q3OTHER,10,wiza,MW,3,0.25255846851153746
4,Q3OTHER,12,xiteu,MZ,1,0.002154023202108943
4,Q3OTHER,12,xitsua,MZ,26,0.06344610563564959
4,Q3OTHER,14,yakur,NG,1,0.0027291675057270546
4,Q3OTHER,20,yao,ZW,1,0.003925187890501663
4,Q3OTHER,5,zabrama,GH,1,0.0026828435493816303
4,Q3OTHER,11,zerma,ML,1,0.07505693702041982
4,Q3OTHER,19,zezulu,ZM,1,0.002404672583180065
4,Q3OTHER,20,zezuru,ZW,44,0.2767318119958603
4,Q3OTHER,7,zhoza,LS,1,0.37768513484576094
4,Q3OTHER,5,zugu,GH,1,0.006106427135406467
4,Q3OTHER,14,zuru,NG,2,0.007695453023610092
5,Q103OTHER,24,akebou,TG,1,0.13146541814631701
5,Q103OTHER,15,badiaranke,SN,1,1
5,Q103OTHER,26,baham,CM,1,0.16007663483696086
5,Q103OTHER,26,bandjoun,CM,1,0.08717622309917619
5,Q103OTHER,28,bassano foula,GN,1,0.23570088277927465
5,Q103OTHER,21,bhojpuri,MU,3,1
5,Q103OTHER,1,boo,BJ,3,0.4315403968461773
