round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
4,kilungwa,Q3OTHER,TZ,17,,,
4,kimakua,Q3OTHER,TZ,17,makh1261,Makhuwa-Meetto,language
4,kimalila,Q3OTHER,TZ,17,mali1279,Malila,language
4,kimambwe,Q3OTHER,TZ,17,mamb1296,Mambwe-Lungu,language
4,kimatengo,Q3OTHER,TZ,17,mate1258,Matengo,language
4,kimatumbi,Q3OTHER,TZ,17,matu1259,Matumbi,language
4,kimbembe,Q3OTHER,TZ,17,,,
4,kimbulu,Q3OTHER,TZ,17,,,
4,kimbungo,Q3OTHER,TZ,17,,,
4,kimeru,Q3OTHER,TZ,17,rwaa1238,Rwa,language
4,kimwani,Q3OTHER,MZ,12,mwan1247,Mwani,language
4,kimwera,Q3OTHER,TZ,17,mwer1248,Mwera (Chimwera),language
4,kindali,Q3OTHER,TZ,17,ndal1241,Ndali,language
4,kindamba,Q3OTHER,TZ,17,ndam1239,Ndamba,language
4,kindendeule,Q3OTHER,TZ,17,nden1249,Ndendeule,language
4,kindengereko,Q3OTHER,TZ,17,nden1248,Ndengereko,language
4,kingindo,Q3OTHER,TZ,17,ngin1244,Ngindo,language
4,kingoni,Q3OTHER,TZ,17,ngon1269,Ngoni,language
4,kinyagazwa,Q3OTHER,TZ,17,,,
4,kinyambo,Q3OTHER,TZ,17,nyam1277,Nyambo,language
4,kinyamwanga,Q3OTHER,TZ,17,nyam1275,Nyamwanga,language
4,kinyiha,Q3OTHER,TZ,17,nyik1247,Nyika (Tanzania),language
4,kipangwa,Q3OTHER,TZ,17,pang1287,Pangwa,language
4,kipimbwe,Q3OTHER,TZ,17,pimb1238,Pimbwe,language
4,kipogoro,Q3OTHER,TZ,17,pogo1243,Pogolo,language
4,kipsigis,Q3OTHER,KE,6,kips1239,Kipsigis,language
4,kirangi,Q3OTHER,TZ,17,lang1320,Langi,language
4,kiryeri,Q3OTHER,TZ,17,suba1252,Suba-Simbiti,language
4,kisafwa,Q3OTHER,TZ,17,safw1238,Safwa,language
4,kisagara,Q3OTHER,TZ,17,saga1256,Sagala,language
4,kisambaa,Q3OTHER,TZ,17,sham1280,Shambala,language
4,kisangu,Q3OTHER,TZ,17,sang1330,Sangu (Tanzania),language
4,kishihiri,Q3OTHER,TZ,17,,,
4,kishirazi,Q3OTHER,TZ,17,,,
4,kishubi,Q3OTHER,TZ,17,shub1238,Shubi,language
4,kisuba,Q3OTHER,TZ,17,suba1252,Suba-Simbiti,language
4,kisumbwa,Q3OTHER,TZ,17,sumb1240,Sumbwa,language
4,kitumbatu,Q3OTHER,TZ,17,,,
4,kividunda,Q3OTHER,TZ,17,vidu1238,Vidunda,language
4,kiwanji,Q3OTHER,TZ,17,vwan1235,Vwanji,language
4,kiyao,Q3OTHER,TZ,17,yaoo1241,Yao,language
4,kizanaki,Q3OTHER,TZ,17,zana1238,Zanaki,language
4,kizaramo,Q3OTHER,TZ,17,zara1247,Zaramo,language
4,kizigua,Q3OTHER,TZ,17,zigu1242,Zigula,language
4,kizinza,Q3OTHER,TZ,17,zinz1238,Zinza,language
4,konkoba,Q3OTHER,GH,5,konk1269,Konkomba,language
4,korekore,Q3OTHER,ZW,20,shon1251,Shona,language
4,kotokoli,Q3OTHER,GH,5,temm1241,Tem,language
4,kumam,Q3OTHER,UG,18,kuma1275,Kumam,language
4,kunda,Q3OTHER,ZM,19,nyan1308,Nyanja,language
4,kusal,Q3OTHER,GH,5,kusa1250,Kusaal,language
4,kusasi,Q3OTHER,GH,5,kusa1250,Kusaal,language
4,kuteb,Q3OTHER,NG,14,kute1248,Kutep,language
4,kwalla,Q3OTHER,NG,14,kofy1242,Pan,language
4,lala,Q3OTHER,ZM,19,lala1264,Lala-Bisa,language
4,lamba,Q3OTHER,ZM,19,lamb1271,Lamba,language
4,larteh,Q3OTHER,GH,5,lart1238,Larteh,language
4,lekpekpe,Q3OTHER,GH,5,sekp1241,Sekpele,language
4,lolo,Q3OTHER,MZ,12,lolo1261,Lolo,language
4,lomue,Q3OTHER,MZ,12,lomw1241,Mozambique Lomwe,language
4,lomwe,Q3OTHER,MZ,12,lomw1241,Mozambique Lomwe,language
4,luchazi,Q3OTHER,ZM,19,luch1239,Luchazi,language
4,lululi,Q3OTHER,UG,18,ruul1235,Ruuli,language
4,lunda kazembe,Q3OTHER,ZM,19,bemb1257,Bemba (Zambia),language
4,lungu,Q3OTHER,ZM,19,mamb1296,Mambwe-Lungu,language
4,lwamba,Q3OTHER,UG,18,amba1263,Amba (Uganda),language
4,macheua,Q3OTHER,MZ,12,,,
4,makwe,Q3OTHER,MZ,12,makw1236,Makwe,language
4,malawian,Q3OTHER,ZW,20,,,
4,malolo,Q3OTHER,MZ,12,,,
4,mambilla,Q3OTHER,NG,14,nige1255,Nigeria Mambila,language
4,mampruli,Q3OTHER,GH,5,mamp1244,Mampruli,language
4,mamprusi,Q3OTHER,GH,5,mamp1244,Mampruli,language
4,manga,Q3OTHER,NG,14,mang1399,Manga Kanuri,language
4,manhembane,Q3OTHER,MZ,12,,,
4,manhungue,Q3OTHER,MZ,12,many1258,Manyika,language
4,manica (mozambican),Q3OTHER,ZW,20,many1258,Manyika,language
4,manyika,Q3OTHER,ZW,20,many1258,Manyika,language
4,marenge,Q3OTHER,MZ,12,mare1260,Marenje,language
4,marenje,Q3OTHER,MZ,12,mare1260,Marenje,language
4,marghi,Q3OTHER,NG,14,marg1265,Marghi Central,language
4,marocain,Q3OTHER,SN,15,,,
4,mateue,Q3OTHER,MZ,12,,,
4,mathewe,Q3OTHER,MZ,12,tewe1238,Tewe,language
4,matsua,Q3OTHER,MZ,12,tswa1255,Tswa,language
4,maungwe,Q3OTHER,ZW,20,,,
4,mbembe,Q3OTHER,NG,14,cros1244,Cross River Mbembe,language
4,mbunda,Q3OTHER,ZM,19,mbun1249,Mbunda,language
4,michica,Q3OTHER,NG,14,,,
4,minyam,Q3OTHER,NG,14,,,
4,mossi,Q3OTHER,GH,5,moss1236,Mossi,language
4,mozambican,Q3OTHER,ZW,20,,,
4,muani,Q3OTHER,MZ,12,mwan1247,Mwani,language
4,muauni,Q3OTHER,MZ,12,mwan1247,Mwani,language
4,mufwe,Q3OTHER,NA,13,fwee1238,Fwe,language
4,mumuye,Q3OTHER,NG,14,nucl1240,Mumuye,language
4,muniga,Q3OTHER,MZ,12,makh1265,Makhuwa-Moniga,language
4,munoga,Q3OTHER,MZ,12,makh1265,Makhuwa-Moniga,language
4,muryang,Q3OTHER,NG,14,,,
4,mwaghawul,Q3OTHER,NG,14,mwag1236,Mwaghavul,language
4,mzema,Q3OTHER,LS,7,,,
4,nafana,Q3OTHER,GH,5,nafa1258,Nafaanra,language
4,nambia,Q3OTHER,ZW,20,,,
4,nambya,Q3OTHER,ZW,20,namb1291,Nambya,language
4,namwanga,Q3OTHER,MW,10,nyam1275,Nyamwanga,language
4,nanum,Q3OTHER,GH,5,dagb1246,Dagbani,language
4,ndali,Q3OTHER,MW,10,ndal1241,Ndali,language
4,ndau,Q3OTHER,ZW,20,ndau1241,Ndau,language
4,ndebele,Q3OTHER,ZM,19,nort2795,Zimbabwean Ndebele,language
4,ndoro,Q3OTHER,NG,14,ndoo1241,Ndoola,language
4,nedere,Q3OTHER,NG,14,koma1266,Koma Ndera,language
